Country,Week,Year,Confirmed,Deaths,Recovered,Detected_FluCases,Quarter
Estonia,1,2017,0.0,0.0,0.0,130,1
Finland,1,2017,0.0,0.0,0.0,2,1
France,1,2017,0.0,0.0,0.0,1926,1
Georgia,1,2017,0.0,0.0,0.0,5,1
Germany,1,2017,0.0,0.0,0.0,3,1
Greece,1,2017,0.0,0.0,0.0,99,1
Hungary,1,2017,0.0,0.0,0.0,14,1
Iceland,1,2017,0.0,0.0,0.0,21,1
Ireland,1,2017,0.0,0.0,0.0,273,1
Israel,1,2017,0.0,0.0,0.0,93,1
Italy,1,2017,0.0,0.0,0.0,222,1
Kazakhstan,1,2017,0.0,0.0,0.0,108,1
Kosovo,1,2017,0.0,0.0,0.0,1,1
Latvia,1,2017,0.0,0.0,0.0,84,1
Lithuania,1,2017,0.0,0.0,0.0,50,1
Luxembourg,1,2017,0.0,0.0,0.0,3,1
Macedonia,1,2017,0.0,0.0,0.0,5,1
Malta,1,2017,0.0,0.0,0.0,41,1
Moldova,1,2017,0.0,0.0,0.0,1,1
Netherlands,1,2017,0.0,0.0,0.0,366,1
Norway,1,2017,0.0,0.0,0.0,1764,1
Poland,1,2017,0.0,0.0,0.0,59,1
Portugal,1,2017,0.0,0.0,0.0,228,1
Romania,1,2017,0.0,0.0,0.0,39,1
Russia,1,2017,0.0,0.0,0.0,470,1
Serbia,1,2017,0.0,0.0,0.0,30,1
Slovakia,1,2017,0.0,0.0,0.0,7,1
Slovenia,1,2017,0.0,0.0,0.0,221,1
Spain,1,2017,0.0,0.0,0.0,1327,1
Sweden,1,2017,0.0,0.0,0.0,929,1
Switzerland,1,2017,0.0,0.0,0.0,1424,1
Turkey,1,2017,0.0,0.0,0.0,98,1
Ukraine,1,2017,0.0,0.0,0.0,113,1
United Kingdom,1,2017,0.0,0.0,0.0,646,1
United Kingdom,1,2017,0.0,0.0,0.0,97,1
United Kingdom,1,2017,0.0,0.0,0.0,341,1
United Kingdom,1,2017,0.0,0.0,0.0,52,1
Uzbekistan,1,2017,0.0,0.0,0.0,0,1
Austria,1,2018,0.0,0.0,0.0,124,1
Belarus,1,2018,0.0,0.0,0.0,0,1
Bulgaria,1,2018,0.0,0.0,0.0,7,1
Croatia,1,2018,0.0,0.0,0.0,179,1
Cyprus,1,2018,0.0,0.0,0.0,1,1
Czechia,1,2018,0.0,0.0,0.0,8,1
Denmark,1,2018,0.0,0.0,0.0,185,1
Estonia,1,2018,0.0,0.0,0.0,30,1
Finland,1,2018,0.0,0.0,0.0,8,1
France,1,2018,0.0,0.0,0.0,2320,1
Germany,1,2018,0.0,0.0,0.0,1,1
Greece,1,2018,0.0,0.0,0.0,6,1
Hungary,1,2018,0.0,0.0,0.0,1,1
Iceland,1,2018,0.0,0.0,0.0,36,1
Ireland,1,2018,0.0,0.0,0.0,475,1
Israel,1,2018,0.0,0.0,0.0,63,1
Italy,1,2018,0.0,0.0,0.0,468,1
Kazakhstan,1,2018,0.0,0.0,0.0,0,1
Latvia,1,2018,0.0,0.0,0.0,6,1
Lithuania,1,2018,0.0,0.0,0.0,1,1
Luxembourg,1,2018,0.0,0.0,0.0,8,1
Macedonia,1,2018,0.0,0.0,0.0,2,1
Malta,1,2018,0.0,0.0,0.0,148,1
Moldova,1,2018,0.0,0.0,0.0,0,1
Montenegro,1,2018,0.0,0.0,0.0,7,1
Netherlands,1,2018,0.0,0.0,0.0,185,1
Norway,1,2018,0.0,0.0,0.0,1710,1
Poland,1,2018,0.0,0.0,0.0,14,1
Portugal,1,2018,0.0,0.0,0.0,241,1
Romania,1,2018,0.0,0.0,0.0,13,1
Russia,1,2018,0.0,0.0,0.0,7,1
Serbia,1,2018,0.0,0.0,0.0,2,1
Slovakia,1,2018,0.0,0.0,0.0,3,1
Slovenia,1,2018,0.0,0.0,0.0,74,1
Spain,1,2018,0.0,0.0,0.0,2690,1
Sweden,1,2018,0.0,0.0,0.0,643,1
Switzerland,1,2018,0.0,0.0,0.0,1423,1
Tajikistan,1,2018,0.0,0.0,0.0,0,1
Turkey,1,2018,0.0,0.0,0.0,78,1
Ukraine,1,2018,0.0,0.0,0.0,8,1
United Kingdom,1,2018,0.0,0.0,0.0,1967,1
United Kingdom,1,2018,0.0,0.0,0.0,340,1
United Kingdom,1,2018,0.0,0.0,0.0,1263,1
United Kingdom,1,2018,0.0,0.0,0.0,155,1
Uzbekistan,1,2018,0.0,0.0,0.0,0,1
Austria,1,2019,0.0,0.0,0.0,17,1
Azerbaijan,1,2019,0.0,0.0,0.0,1,1
Belarus,1,2019,0.0,0.0,0.0,9,1
Belgium,1,2019,0.0,0.0,0.0,3,1
Bulgaria,1,2019,0.0,0.0,0.0,9,1
Croatia,1,2019,0.0,0.0,0.0,249,1
Cyprus,1,2019,0.0,0.0,0.0,7,1
Czechia,1,2019,0.0,0.0,0.0,0,1
Denmark,1,2019,0.0,0.0,0.0,286,1
Estonia,1,2019,0.0,0.0,0.0,99,1
Finland,1,2019,0.0,0.0,0.0,14,1
France,1,2019,0.0,0.0,0.0,679,1
Georgia,1,2019,0.0,0.0,0.0,28,1
Germany,1,2019,0.0,0.0,0.0,3,1
Greece,1,2019,0.0,0.0,0.0,11,1
Hungary,1,2019,0.0,0.0,0.0,4,1
Iceland,1,2019,0.0,0.0,0.0,7,1
Ireland,1,2019,0.0,0.0,0.0,176,1
Israel,1,2019,0.0,0.0,0.0,33,1
Italy,1,2019,0.0,0.0,0.0,120,1
Kazakhstan,1,2019,0.0,0.0,0.0,6,1
Latvia,1,2019,0.0,0.0,0.0,92,1
Lithuania,1,2019,0.0,0.0,0.0,30,1
Macedonia,1,2019,0.0,0.0,0.0,0,1
Malta,1,2019,0.0,0.0,0.0,84,1
Moldova,1,2019,0.0,0.0,0.0,2,1
Montenegro,1,2019,0.0,0.0,0.0,5,1
Netherlands,1,2019,0.0,0.0,0.0,70,1
Norway,1,2019,0.0,0.0,0.0,601,1
Poland,1,2019,0.0,0.0,0.0,8,1
Portugal,1,2019,0.0,0.0,0.0,162,1
Romania,1,2019,0.0,0.0,0.0,22,1
Russia,1,2019,0.0,0.0,0.0,54,1
Serbia,1,2019,0.0,0.0,0.0,4,1
Slovenia,1,2019,0.0,0.0,0.0,84,1
Spain,1,2019,0.0,0.0,0.0,448,1
Sweden,1,2019,0.0,0.0,0.0,797,1
Switzerland,1,2019,0.0,0.0,0.0,320,1
Turkey,1,2019,0.0,0.0,0.0,24,1
Turkmenistan,1,2019,0.0,0.0,0.0,0,1
Ukraine,1,2019,0.0,0.0,0.0,78,1
United Kingdom,1,2019,0.0,0.0,0.0,1309,1
United Kingdom,1,2019,0.0,0.0,0.0,104,1
United Kingdom,1,2019,0.0,0.0,0.0,399,1
United Kingdom,1,2019,0.0,0.0,0.0,131,1
Uzbekistan,1,2019,0.0,0.0,0.0,0,1
Austria,1,2020,0.0,0.0,0.0,44,1
Azerbaijan,1,2020,0.0,0.0,0.0,3,1
Belarus,1,2020,0.0,0.0,0.0,0,1
Bulgaria,1,2020,0.0,0.0,0.0,6,1
Croatia,1,2020,0.0,0.0,0.0,142,1
Czechia,1,2020,0.0,0.0,0.0,0,1
Denmark,1,2020,0.0,0.0,0.0,284,1
Estonia,1,2020,0.0,0.0,0.0,27,1
Finland,1,2020,0.0,0.0,0.0,1,1
France,1,2020,0.0,0.0,0.0,432,1
Georgia,1,2020,0.0,0.0,0.0,2,1
Germany,1,2020,0.0,0.0,0.0,2,1
Greece,1,2020,0.0,0.0,0.0,5,1
Hungary,1,2020,0.0,0.0,0.0,2,1
Iceland,1,2020,0.0,0.0,0.0,13,1
Ireland,1,2020,0.0,0.0,0.0,270,1
Israel,1,2020,0.0,0.0,0.0,160,1
Italy,1,2020,0.0,0.0,0.0,58,1
Kazakhstan,1,2020,0.0,0.0,0.0,13,1
Latvia,1,2020,0.0,0.0,0.0,28,1
Lithuania,1,2020,0.0,0.0,0.0,19,1
Luxembourg,1,2020,0.0,0.0,0.0,1,1
Macedonia,1,2020,0.0,0.0,0.0,0,1
Malta,1,2020,0.0,0.0,0.0,21,1
Moldova,1,2020,0.0,0.0,0.0,2,1
Montenegro,1,2020,0.0,0.0,0.0,3,1
Netherlands,1,2020,0.0,0.0,0.0,202,1
Norway,1,2020,0.0,0.0,0.0,689,1
Poland,1,2020,0.0,0.0,0.0,18,1
Portugal,1,2020,0.0,0.0,0.0,243,1
Romania,1,2020,0.0,0.0,0.0,31,1
Russia,1,2020,0.0,0.0,0.0,136,1
Serbia,1,2020,0.0,0.0,0.0,0,1
Slovenia,1,2020,0.0,0.0,0.0,68,1
Spain,1,2020,0.0,0.0,0.0,441,1
Sweden,1,2020,0.0,0.0,0.0,406,1
Switzerland,1,2020,0.0,0.0,0.0,271,1
Tajikistan,1,2020,0.0,0.0,0.0,0,1
Turkey,1,2020,0.0,0.0,0.0,75,1
Ukraine,1,2020,0.0,0.0,0.0,9,1
United Kingdom,1,2020,0.0,0.0,0.0,2559,1
United Kingdom,1,2020,0.0,0.0,0.0,127,1
United Kingdom,1,2020,0.0,0.0,0.0,584,1
United Kingdom,1,2020,0.0,0.0,0.0,194,1
Uzbekistan,1,2020,0.0,0.0,0.0,0,1
Albania,1,2021,63033.0,1233.0,37327.0,0,1
Armenia,1,2021,161794.0,2922.0,148893.0,0,1
Austria,1,2021,379071.0,6687.0,351382.0,2,1
Azerbaijan,1,2021,224050.0,2890.0,207088.0,0,1
Belarus,1,2021,210368.0,1507.0,192620.0,0,1
Belgium,1,2021,662694.0,20038.0,0.0,0,1
Bosnia and Herzegovina,1,2021,115379.0,4305.0,81325.0,0,1
Bulgaria,1,2021,208406.0,8097.0,134564.0,0,1
Croatia,1,2021,219347.0,4342.0,209207.0,0,1
Cyprus,1,2021,27011.0,147.0,2057.0,0,1
Czechia,1,2021,822716.0,12978.0,654008.0,0,1
Denmark,1,2021,180915.0,1543.0,151556.0,7,1
Estonia,1,2021,33089.0,278.0,22752.0,0,1
Finland,1,2021,38392.0,586.0,31000.0,0,1
France,1,2021,2824920.0,67734.0,208090.0,0,1
Georgia,1,2021,238086.0,2750.0,224718.0,0,1
Germany,1,2021,1928462.0,40597.0,1546206.0,0,1
Greece,1,2021,144293.0,5227.0,93764.0,0,1
Hungary,1,2021,340459.0,10554.0,193172.0,0,1
Iceland,1,2021,5880.0,29.0,5706.0,0,1
Ireland,1,2021,140727.0,2336.0,23364.0,0,1
Israel,1,2021,485434.0,3645.0,412296.0,0,1
Italy,1,2021,2257866.0,78394.0,1606630.0,0,1
Kazakhstan,1,2021,208596.0,2843.0,182575.0,0,1
Kosovo,1,2021,53264.0,1368.0,45002.0,0,1
Kyrgyzstan,1,2021,82138.0,1367.0,77751.0,0,1
Latvia,1,2021,48952.0,818.0,35304.0,0,1
Lithuania,1,2021,160238.0,2174.0,118208.0,0,1
Luxembourg,1,2021,47744.0,527.0,44482.0,0,1
Macedonia,1,2021,86150.0,2614.0,67164.0,0,1
Malta,1,2021,14212.0,232.0,11759.0,0,1
Moldova,1,2021,149093.0,3130.0,138103.0,0,1
Montenegro,1,2021,51999.0,721.0,41827.0,0,1
Netherlands,1,2021,884365.0,12512.0,30176.0,0,1
Norway,1,2021,54919.0,472.0,17998.0,1,1
Poland,1,2021,1376389.0,31011.0,1113738.0,0,1
Portugal,1,2021,476187.0,7701.0,366080.0,0,1
Romania,1,2021,668202.0,16592.0,596515.0,0,1
Russia,1,2021,3344175.0,60523.0,2726336.0,3,1
Serbia,1,2021,356125.0,3513.0,0.0,0,1
Slovakia,1,2021,205236.0,2836.0,144612.0,0,1
Slovenia,1,2021,138518.0,2973.0,111269.0,0,1
Spain,1,2021,2050360.0,51874.0,150376.0,1,1
Sweden,1,2021,489471.0,9433.0,0.0,1,1
Switzerland,1,2021,477983.0,8253.0,317600.0,4,1
Tajikistan,1,2021,13305.0,90.0,13215.0,0,1
Turkey,1,2021,2317118.0,22631.0,2190047.0,0,1
Turkmenistan,1,2021,0.0,0.0,0.0,0,1
Ukraine,1,2021,1144943.0,20526.0,814779.0,0,1
United Kingdom,1,2021,3026346.0,81000.0,6855.0,20,1
United Kingdom,1,2021,3026346.0,81000.0,6855.0,0,1
United Kingdom,1,2021,3026346.0,81000.0,6855.0,3,1
Uzbekistan,1,2021,77530.0,616.0,75947.0,0,1
Austria,2,2016,0.0,0.0,0.0,47,1
Azerbaijan,2,2016,0.0,0.0,0.0,0,1
Belarus,2,2016,0.0,0.0,0.0,10,1
Bulgaria,2,2016,0.0,0.0,0.0,4,1
Croatia,2,2016,0.0,0.0,0.0,38,1
Czechia,2,2016,0.0,0.0,0.0,2,1
Denmark,2,2016,0.0,0.0,0.0,57,1
Estonia,2,2016,0.0,0.0,0.0,4,1
Finland,2,2016,0.0,0.0,0.0,1,1
France,2,2016,0.0,0.0,0.0,108,1
Georgia,2,2016,0.0,0.0,0.0,8,1
Germany,2,2016,0.0,0.0,0.0,5,1
Greece,2,2016,0.0,0.0,0.0,106,1
Hungary,2,2016,0.0,0.0,0.0,25,1
Iceland,2,2016,0.0,0.0,0.0,4,1
Ireland,2,2016,0.0,0.0,0.0,61,1
Israel,2,2016,0.0,0.0,0.0,86,1
Italy,2,2016,0.0,0.0,0.0,21,1
Kazakhstan,2,2016,0.0,0.0,0.0,73,1
Latvia,2,2016,0.0,0.0,0.0,89,1
Lithuania,2,2016,0.0,0.0,0.0,4,1
Luxembourg,2,2016,0.0,0.0,0.0,1,1
Macedonia,2,2016,0.0,0.0,0.0,0,1
Malta,2,2016,0.0,0.0,0.0,24,1
Moldova,2,2016,0.0,0.0,0.0,3,1
Montenegro,2,2016,0.0,0.0,0.0,1,1
Netherlands,2,2016,0.0,0.0,0.0,57,1
Norway,2,2016,0.0,0.0,0.0,359,1
Poland,2,2016,0.0,0.0,0.0,6,1
Portugal,2,2016,0.0,0.0,0.0,120,1
Romania,2,2016,0.0,0.0,0.0,7,1
Russia,2,2016,0.0,0.0,0.0,654,1
Serbia,2,2016,0.0,0.0,0.0,2,1
Slovenia,2,2016,0.0,0.0,0.0,108,1
Spain,2,2016,0.0,0.0,0.0,131,1
Sweden,2,2016,0.0,0.0,0.0,264,1
Switzerland,2,2016,0.0,0.0,0.0,60,1
Turkey,2,2016,0.0,0.0,0.0,1184,1
Ukraine,2,2016,0.0,0.0,0.0,262,1
United Kingdom,2,2016,0.0,0.0,0.0,184,1
United Kingdom,2,2016,0.0,0.0,0.0,36,1
United Kingdom,2,2016,0.0,0.0,0.0,127,1
United Kingdom,2,2016,0.0,0.0,0.0,14,1
Uzbekistan,2,2016,0.0,0.0,0.0,0,1
Austria,2,2017,0.0,0.0,0.0,280,1
Azerbaijan,2,2017,0.0,0.0,0.0,0,1
Belarus,2,2017,0.0,0.0,0.0,72,1
Bulgaria,2,2017,0.0,0.0,0.0,27,1
Croatia,2,2017,0.0,0.0,0.0,223,1
Cyprus,2,2017,0.0,0.0,0.0,16,1
Czechia,2,2017,0.0,0.0,0.0,18,1
Denmark,2,2017,0.0,0.0,0.0,294,1
Estonia,2,2017,0.0,0.0,0.0,113,1
Finland,2,2017,0.0,0.0,0.0,4,1
France,2,2017,0.0,0.0,0.0,1859,1
Germany,2,2017,0.0,0.0,0.0,2,1
Greece,2,2017,0.0,0.0,0.0,131,1
Iceland,2,2017,0.0,0.0,0.0,25,1
Ireland,2,2017,0.0,0.0,0.0,177,1
Israel,2,2017,0.0,0.0,0.0,121,1
Italy,2,2017,0.0,0.0,0.0,270,1
Kazakhstan,2,2017,0.0,0.0,0.0,140,1
Kyrgyzstan,2,2017,0.0,0.0,0.0,1,1
Latvia,2,2017,0.0,0.0,0.0,134,1
Lithuania,2,2017,0.0,0.0,0.0,63,1
Luxembourg,2,2017,0.0,0.0,0.0,2,1
Macedonia,2,2017,0.0,0.0,0.0,7,1
Malta,2,2017,0.0,0.0,0.0,35,1
Moldova,2,2017,0.0,0.0,0.0,1,1
Netherlands,2,2017,0.0,0.0,0.0,328,1
Norway,2,2017,0.0,0.0,0.0,1264,1
Poland,2,2017,0.0,0.0,0.0,94,1
Portugal,2,2017,0.0,0.0,0.0,187,1
Romania,2,2017,0.0,0.0,0.0,46,1
Russia,2,2017,0.0,0.0,0.0,1371,1
Serbia,2,2017,0.0,0.0,0.0,0,1
Slovakia,2,2017,0.0,0.0,0.0,12,1
Slovenia,2,2017,0.0,0.0,0.0,444,1
Spain,2,2017,0.0,0.0,0.0,1161,1
Sweden,2,2017,0.0,0.0,0.0,749,1
Switzerland,2,2017,0.0,0.0,0.0,1154,1
Turkey,2,2017,0.0,0.0,0.0,92,1
Ukraine,2,2017,0.0,0.0,0.0,93,1
United Kingdom,2,2017,0.0,0.0,0.0,897,1
United Kingdom,2,2017,0.0,0.0,0.0,86,1
United Kingdom,2,2017,0.0,0.0,0.0,315,1
United Kingdom,2,2017,0.0,0.0,0.0,113,1
Uzbekistan,2,2017,0.0,0.0,0.0,0,1
Albania,2,2018,0.0,0.0,0.0,1,1
Armenia,2,2018,0.0,0.0,0.0,12,1
Austria,2,2018,0.0,0.0,0.0,273,1
Belarus,2,2018,0.0,0.0,0.0,0,1
Bulgaria,2,2018,0.0,0.0,0.0,29,1
Croatia,2,2018,0.0,0.0,0.0,207,1
Cyprus,2,2018,0.0,0.0,0.0,3,1
Czechia,2,2018,0.0,0.0,0.0,4,1
Denmark,2,2018,0.0,0.0,0.0,209,1
Estonia,2,2018,0.0,0.0,0.0,33,1
Finland,2,2018,0.0,0.0,0.0,2,1
France,2,2018,0.0,0.0,0.0,1554,1
Germany,2,2018,0.0,0.0,0.0,4,1
Greece,2,2018,0.0,0.0,0.0,8,1
Hungary,2,2018,0.0,0.0,0.0,3,1
Iceland,2,2018,0.0,0.0,0.0,32,1
Ireland,2,2018,0.0,0.0,0.0,418,1
Israel,2,2018,0.0,0.0,0.0,81,1
Italy,2,2018,0.0,0.0,0.0,640,1
Kazakhstan,2,2018,0.0,0.0,0.0,0,1
Latvia,2,2018,0.0,0.0,0.0,9,1
Lithuania,2,2018,0.0,0.0,0.0,4,1
Luxembourg,2,2018,0.0,0.0,0.0,7,1
Macedonia,2,2018,0.0,0.0,0.0,1,1
Malta,2,2018,0.0,0.0,0.0,162,1
Moldova,2,2018,0.0,0.0,0.0,2,1
Montenegro,2,2018,0.0,0.0,0.0,10,1
Netherlands,2,2018,0.0,0.0,0.0,162,1
Norway,2,2018,0.0,0.0,0.0,1745,1
Poland,2,2018,0.0,0.0,0.0,44,1
Portugal,2,2018,0.0,0.0,0.0,289,1
Romania,2,2018,0.0,0.0,0.0,17,1
Russia,2,2018,0.0,0.0,0.0,46,1
Serbia,2,2018,0.0,0.0,0.0,4,1
Slovakia,2,2018,0.0,0.0,0.0,3,1
Slovenia,2,2018,0.0,0.0,0.0,129,1
Spain,2,2018,0.0,0.0,0.0,2149,1
Sweden,2,2018,0.0,0.0,0.0,619,1
Switzerland,2,2018,0.0,0.0,0.0,1040,1
Tajikistan,2,2018,0.0,0.0,0.0,0,1
Turkey,2,2018,0.0,0.0,0.0,137,1
Ukraine,2,2018,0.0,0.0,0.0,10,1
United Kingdom,2,2018,0.0,0.0,0.0,2289,1
United Kingdom,2,2018,0.0,0.0,0.0,323,1
United Kingdom,2,2018,0.0,0.0,0.0,1020,1
United Kingdom,2,2018,0.0,0.0,0.0,305,1
Uzbekistan,2,2018,0.0,0.0,0.0,0,1
Austria,2,2019,0.0,0.0,0.0,69,1
Azerbaijan,2,2019,0.0,0.0,0.0,2,1
Belarus,2,2019,0.0,0.0,0.0,8,1
Belgium,2,2019,0.0,0.0,0.0,12,1
Bulgaria,2,2019,0.0,0.0,0.0,39,1
Croatia,2,2019,0.0,0.0,0.0,389,1
Cyprus,2,2019,0.0,0.0,0.0,31,1
Czechia,2,2019,0.0,0.0,0.0,1,1
Denmark,2,2019,0.0,0.0,0.0,354,1
Estonia,2,2019,0.0,0.0,0.0,97,1
Finland,2,2019,0.0,0.0,0.0,5,1
France,2,2019,0.0,0.0,0.0,911,1
Georgia,2,2019,0.0,0.0,0.0,49,1
Germany,2,2019,0.0,0.0,0.0,0,1
Greece,2,2019,0.0,0.0,0.0,34,1
Hungary,2,2019,0.0,0.0,0.0,4,1
Iceland,2,2019,0.0,0.0,0.0,6,1
Ireland,2,2019,0.0,0.0,0.0,208,1
Israel,2,2019,0.0,0.0,0.0,56,1
Italy,2,2019,0.0,0.0,0.0,203,1
Kazakhstan,2,2019,0.0,0.0,0.0,40,1
Latvia,2,2019,0.0,0.0,0.0,79,1
Lithuania,2,2019,0.0,0.0,0.0,57,1
Luxembourg,2,2019,0.0,0.0,0.0,1,1
Macedonia,2,2019,0.0,0.0,0.0,0,1
Malta,2,2019,0.0,0.0,0.0,105,1
Moldova,2,2019,0.0,0.0,0.0,7,1
Montenegro,2,2019,0.0,0.0,0.0,20,1
Netherlands,2,2019,0.0,0.0,0.0,113,1
Norway,2,2019,0.0,0.0,0.0,888,1
Poland,2,2019,0.0,0.0,0.0,38,1
Portugal,2,2019,0.0,0.0,0.0,239,1
Romania,2,2019,0.0,0.0,0.0,136,1
Russia,2,2019,0.0,0.0,0.0,350,1
Serbia,2,2019,0.0,0.0,0.0,1,1
Slovakia,2,2019,0.0,0.0,0.0,3,1
Slovenia,2,2019,0.0,0.0,0.0,237,1
Spain,2,2019,0.0,0.0,0.0,892,1
Sweden,2,2019,0.0,0.0,0.0,715,1
Switzerland,2,2019,0.0,0.0,0.0,458,1
Turkey,2,2019,0.0,0.0,0.0,52,1
Turkmenistan,2,2019,0.0,0.0,0.0,0,1
Ukraine,2,2019,0.0,0.0,0.0,104,1
United Kingdom,2,2019,0.0,0.0,0.0,1870,1
United Kingdom,2,2019,0.0,0.0,0.0,115,1
United Kingdom,2,2019,0.0,0.0,0.0,539,1
United Kingdom,2,2019,0.0,0.0,0.0,200,1
Uzbekistan,2,2019,0.0,0.0,0.0,0,1
Austria,2,2020,0.0,0.0,0.0,152,1
Azerbaijan,2,2020,0.0,0.0,0.0,7,1
Belarus,2,2020,0.0,0.0,0.0,1,1
Bulgaria,2,2020,0.0,0.0,0.0,20,1
Croatia,2,2020,0.0,0.0,0.0,140,1
Czechia,2,2020,0.0,0.0,0.0,26,1
Denmark,2,2020,0.0,0.0,0.0,259,1
Estonia,2,2020,0.0,0.0,0.0,38,1
Finland,2,2020,0.0,0.0,0.0,2,1
France,2,2020,0.0,0.0,0.0,508,1
Georgia,2,2020,0.0,0.0,0.0,4,1
Germany,2,2020,0.0,0.0,0.0,4,1
Greece,2,2020,0.0,0.0,0.0,13,1
Hungary,2,2020,0.0,0.0,0.0,9,1
Iceland,2,2020,0.0,0.0,0.0,9,1
Ireland,2,2020,0.0,0.0,0.0,164,1
Israel,2,2020,0.0,0.0,0.0,132,1
Italy,2,2020,0.0,0.0,0.0,120,1
Kazakhstan,2,2020,0.0,0.0,0.0,64,1
Latvia,2,2020,0.0,0.0,0.0,19,1
Lithuania,2,2020,0.0,0.0,0.0,25,1
Luxembourg,2,2020,0.0,0.0,0.0,4,1
Macedonia,2,2020,0.0,0.0,0.0,4,1
Malta,2,2020,0.0,0.0,0.0,50,1
Moldova,2,2020,0.0,0.0,0.0,3,1
Montenegro,2,2020,0.0,0.0,0.0,9,1
Netherlands,2,2020,0.0,0.0,0.0,235,1
Norway,2,2020,0.0,0.0,0.0,936,1
Poland,2,2020,0.0,0.0,0.0,12,1
Portugal,2,2020,0.0,0.0,0.0,268,1
Romania,2,2020,0.0,0.0,0.0,33,1
Russia,2,2020,0.0,0.0,0.0,367,1
Serbia,2,2020,0.0,0.0,0.0,14,1
Slovakia,2,2020,0.0,0.0,0.0,6,1
Slovenia,2,2020,0.0,0.0,0.0,115,1
Spain,2,2020,0.0,0.0,0.0,860,1
Sweden,2,2020,0.0,0.0,0.0,363,1
Switzerland,2,2020,0.0,0.0,0.0,417,1
Turkey,2,2020,0.0,0.0,0.0,111,1
Ukraine,2,2020,0.0,0.0,0.0,1,1
United Kingdom,2,2020,0.0,0.0,0.0,1678,1
United Kingdom,2,2020,0.0,0.0,0.0,81,1
United Kingdom,2,2020,0.0,0.0,0.0,359,1
United Kingdom,2,2020,0.0,0.0,0.0,112,1
Uzbekistan,2,2020,0.0,0.0,0.0,0,1
Albania,2,2021,67216.0,1270.0,40090.0,0,1
Armenia,2,2021,164235.0,2987.0,152615.0,0,1
Austria,2,2021,392511.0,7053.0,367785.0,0,1
Azerbaijan,2,2021,226951.0,2998.0,214423.0,0,1
Belarus,2,2021,223537.0,1573.0,206676.0,0,1
Belgium,2,2021,677209.0,20396.0,0.0,0,1
Bosnia and Herzegovina,2,2021,117011.0,4411.0,84650.0,0,1
Bulgaria,2,2021,211736.0,8474.0,156326.0,0,1
Croatia,2,2021,224575.0,4588.0,215276.0,0,1
Cyprus,2,2021,28811.0,167.0,2057.0,0,1
Czechia,2,2021,883906.0,14215.0,719844.0,0,1
Denmark,2,2021,188878.0,1748.0,167026.0,1,1
Estonia,2,2021,36691.0,320.0,26225.0,0,1
Finland,2,2021,40101.0,618.0,31000.0,0,1
